,date,Latitude,Longitude,Elevation (m),Type,magAFV-MEAN,magAFV-MAX,magAFV-DELTA,magAFV-SD,sB-MEAN,sB-MAX,sB-DELTA,sB-SD,PT-MEAN,PT-MAX,PT-DELTA,PT-SD,PD-MEAN,PD-MAX,PD-DELTA,PD-SD,PFS-MEAN,PFS-MAX,PFS-DELTA,PFS-SD,FP-MEAN,FP-MAX,FP-DELTA,FP-SD,EF-MEAN,EF-MAX,EF-DELTA,EF-SD,Kp-MEAN,Kp-MAX,Kp-DELTA,Kp-SD,DST-MEAN,DST-MAX,DST-DELTA,DST-SD
57,1977-01-10,-1.52,29.25,3470,Stratovolcano,,,,,,,,,54729.41176470588,69471.0,45986.0,13687.183055959795,8.052941176470588,10.7,5.499999999999999,1.5632968556302826,383.3333333333333,401.0,30.0,6.498868679827824,2.2347058823529413,2.9,1.41,0.4446644471826315,,,,,14.76,27.0,24.0,7.595393340703297,-1.2,9.0,20.0,6.331139971074193
58,1977-04-05,-11.75,43.38,2361,Shield volcano,5.3,9.0,6.8,1.952924228811313,2.658333333333333,8.1,7.8,1.8612563934930728,214940.0,328945.0,233447.0,72949.90223262811,7.152,11.7,8.899999999999999,2.6569280507132045,493.32,545.0,108.0,36.13714617029593,3.3615999999999997,5.4,3.9000000000000004,1.1470820952893186,0.38000000000000006,2.52,4.6,1.1181584238691606,36.04,53.0,30.0,9.112628599915615,-22.76,-11.0,18.0,5.93913573959489
59,1977-04-27,65.715,-16.728,800,Caldera,4.188000000000001,6.0,4.5,1.1544551384383313,2.108,4.2,3.6,0.899499861033897,100563.56,198768.0,172070.0,51829.22633280056,7.448,11.6,7.5,2.150992019201063,401.28,424.0,46.0,13.603063380479167,2.1324,3.22,1.8400000000000003,0.5167226851352023,-0.7879999999999999,0.04,2.02,0.6111191918657658,10.48,13.0,6.0,2.8301943396169813,-14.04,-7.0,22.0,5.884159526502772
60,1977-08-02,56.056,160.642,4754,Stratovolcano,,,,,,,,,84901.61111111111,111179.0,87699.0,26187.14020982973,6.561111111111111,13.1,8.3,2.7529959912983117,406.6111111111111,438.0,82.0,24.29025195153976,1.9938888888888888,3.06,1.4000000000000001,0.4722803116904806,,,,,15.8,27.0,20.0,5.656854249492381,-21.76,-17.0,17.0,3.992492955535426
61,1977-08-07,42.544,140.839,733,Stratovolcano,4.195652173913044,5.7,4.300000000000001,1.2054717148635088,2.4521739130434783,4.0,3.7,0.8393014222973507,245079.66666666666,263207.0,28273.0,15735.974209858548,2.4,2.5,0.20000000000000018,0.10000000000000009,661.3333333333334,670.0,17.0,8.504900548115383,2.08,2.23,0.22999999999999998,0.13000000000000006,-2.28,-2.28,0.0,,34.88,43.0,20.0,5.732364259186605,-30.4,-21.0,27.0,7.088723439378913
62,1978-07-29,12.769,124.056,1535,Stratovolcano,4.083333333333333,5.2,2.7,0.9662642840686324,2.0333333333333337,5.2,4.1,1.570562531918633,39116.0,60130.0,29529.0,8463.14432218793,16.90833333333333,21.5,8.5,2.8735338817729246,312.7894736842105,330.0,36.0,10.282557763127167,3.22,4.4,2.3400000000000003,0.7491328320131218,0.35,0.83,1.17,0.5382068994974578,14.4,27.0,27.0,9.38083151964686,8.16,13.0,15.0,3.760319135392633
63,1978-09-02,14.757,-91.552,3745,Stratovolcano,3.8950000000000005,5.7,3.1,0.7897201369705866,2.325,3.8,3.1999999999999997,0.8353221880775925,163332.16666666666,270382.0,150170.0,54196.995589854116,2.6,3.8,2.8,1.283744522870497,575.7826086956521,681.0,197.0,39.479518880898155,1.7616666666666667,2.46,1.62,0.6955118019607335,0.6022222222222222,2.18,2.9000000000000004,0.8847369536332158,33.84,50.0,23.0,6.7557383016218155,-46.8,-37.0,16.0,4.983305462575351
64,1978-09-19,-8.108,112.922,3657,Stratovolcano,3.5480000000000005,4.9,3.6000000000000005,0.7506219643291377,1.3359999999999999,2.4,1.7,0.4452340208624374,44555.92,68754.0,43058.0,13935.476044135221,5.712,6.9,2.5,0.6722598703874367,356.44,391.0,70.0,24.17829605245167,1.4372,1.62,0.28,0.07062341443647899,-0.43559999999999993,0.47,1.37,0.3069484212914823,5.52,13.0,10.0,3.74299345444258,-1.2,3.0,9.0,2.943920288775949
65,1978-10-24,42.544,140.839,733,Stratovolcano,5.842105263157895,6.5,1.5999999999999996,0.46704245521232873,1.868421052631579,3.3,2.4,0.7055751252063394,46436.05263157895,61806.0,24160.0,8854.746746323153,7.394736842105265,8.9,2.9000000000000004,0.810674399778444,335.4736842105263,371.0,61.0,20.424300398878433,1.6689473684210527,2.12,0.8800000000000001,0.2664560571827121,0.11315789473684212,1.44,2.86,0.7922124619035739,14.36,27.0,24.0,7.5657121277510955,-20.48,-13.0,14.0,4.857296916324278
66,,-6.77,107.6,2084,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
